list_name,name,label,governorate,district,subdistrict,community,order
subdistrict,SY080200,Quamishli,,SY0802,,,
subdistrict,SY080201,Tal Hmis,,SY0802,,,
subdistrict,SY080202,Amuda,,SY0802,,,
subdistrict,SY080203,Qahtaniyyeh,,SY0802,,,
subdistrict,SY080300,Al-Malikeyyeh,,SY0803,,,
subdistrict,SY080301,Jawadiyah,,SY0803,,,
subdistrict,SY080302,Ya'robiyah,,SY0803,,,
subdistrict,SY080400,Ras Al Ain,,SY0804,,,
subdistrict,SY080401,Darbasiyah,,SY0804,,,
subdistrict,SY090100,Deir-ez-Zor,,SY0901,,,
subdistrict,SY090101,Kisreh,,SY0901,,,
subdistrict,SY090102,Basira,,SY0901,,,
subdistrict,SY090103,Muhasan,,SY0901,,,
subdistrict,SY090104,Tabni,,SY0901,,,
subdistrict,SY090105,Khasham,,SY0901,,,
subdistrict,SY090106,Sur,,SY0901,,,
subdistrict,SY090200,Abu Kamal,,SY0902,,,
subdistrict,SY090201,Hajin,,SY0902,,,
subdistrict,SY090202,Jalaa,,SY0902,,,
subdistrict,SY090203,Susat,,SY0902,,,
subdistrict,SY090300,Al Mayadin,,SY0903,,,
subdistrict,SY090301,Thiban,,SY0903,,,
subdistrict,SY090302,Ashara,,SY0903,,,
subdistrict,SY100001,Arwad,,SY1000,,,
subdistrict,SY100000,Tartous,,SY1000,,,
subdistrict,SY100002,Hameidiyyeh,,SY1000,,,
subdistrict,SY100003,Kherbet Elma'aza,,SY1000,,,
subdistrict,SY100004,Soda Khawabi,,SY1000,,,
subdistrict,SY100005,Kareemeh,,SY1000,,,
subdistrict,SY100006,Safsafa,,SY1000,,,
subdistrict,SY100200,Banyas,,SY1002,,,
subdistrict,SY100201,Rawda,,SY1002,,,
subdistrict,SY100206,Taleen,,SY1002,,,
subdistrict,SY100300,Safita,,SY1003,,,
subdistrict,SY100301,Mashta Elhiu,,SY1003,,,
subdistrict,SY100302,Bariqiyeh,,SY1003,,,
subdistrict,SY100303,Sibbeh,,SY1003,,,
subdistrict,SY100304,Sisniyyeh,,SY1003,,,
subdistrict,SY100305,Ras El-Khashufeh,,SY1003,,,
subdistrict,SY100400,Dreikish,,SY1004,,,
subdistrict,SY100401,Jneinet Raslan,,SY1004,,,
subdistrict,SY100402,Hamin,,SY1004,,,
subdistrict,SY100403,Dweir Raslan,,SY1004,,,
subdistrict,SY100500,Sheikh Badr,,SY1005,,,
subdistrict,SY100502,Qumseyyeh,,SY1005,,,
subdistrict,SY100501,Baramanet Elmashayekh,,SY1005,,,
subdistrict,SY100601,Anaza,,SY1006,,,
subdistrict,SY100603,Hamam Wasil,,SY1006,,,
subdistrict,SY100604,Tawahin,,SY1006,,,
subdistrict,SY100602,Qadmous,,SY1006,,,
subdistrict,SY110100,Ar-Raqqa,,SY1101,,,
subdistrict,SY110101,Sabka,,SY1101,,,
subdistrict,SY110102,Karama,,SY1101,,,
subdistrict,SY110103,Maadan,,SY1101,,,
subdistrict,SY110200,Tell Abiad,,SY1102,,,
subdistrict,SY110201,Suluk,,SY1102,,,
subdistrict,SY110202,Ein Issa,,SY1102,,,
subdistrict,SY110300,Al-Thawrah,,SY1103,,,
subdistrict,SY110301,Mansura,,SY1103,,,
subdistrict,SY110302,Jurneyyeh,,SY1103,,,
subdistrict,SY120000,Dar'a,,SY1200,,,
subdistrict,SY120001,Busra Esh-Sham,,SY1200,,,
subdistrict,SY120002,Kherbet Ghazala,,SY1200,,,
subdistrict,SY120003,Ash-Shajara,,SY1200,,,
subdistrict,SY120004,Da'el,,SY1200,,,
subdistrict,SY120005,Mzeireb,,SY1200,,,
subdistrict,SY120006,Jizeh,,SY1200,,,
subdistrict,SY120007,Mseifra,,SY1200,,,
subdistrict,SY120200,As-Sanamayn,,SY1202,,,
subdistrict,SY120201,Masmiyyeh,,SY1202,,,
subdistrict,SY120202,Ghabagheb,,SY1202,,,
subdistrict,SY120300,Izra',,SY1203,,,
subdistrict,SY120301,Jasim,,SY1203,,,
subdistrict,SY120302,Hrak,,SY1203,,,
subdistrict,SY120303,Nawa ,,SY1203,,,
subdistrict,SY120304,Sheikh Miskine,,SY1203,,,
subdistrict,SY120305,Tassil,,SY1203,,,
subdistrict,SY130000,As-Sweida,,SY1300,,,
subdistrict,SY130001,Mazra'a,,SY1300,,,
subdistrict,SY130002,Mashnaf,,SY1300,,,
subdistrict,SY130200,Salkhad,,SY1302,,,
subdistrict,SY130201,Qarayya,,SY1302,,,
subdistrict,SY130202,Gharyeh,,SY1302,,,
subdistrict,SY130203,Thibeen,,SY1302,,,
subdistrict,SY130204,Milh,,SY1302,,,
subdistrict,SY130301,Shaqa,,SY1303,,,
subdistrict,SY130302,Ariqa,,SY1303,,,
subdistrict,SY130303,Little Sura,,SY1303,,,
subdistrict,SY130300,Shahba,,SY1303,,,
subdistrict,SY140000,Quneitra,,SY1400,,,
subdistrict,SY140001,Khan Arnaba,,SY1400,,,
subdistrict,SY140002,Al-Khashniyyeh,,SY1400,,,
subdistrict,SY140003,Masaada,,SY1400,,,
subdistrict,SY140200,Fiq,,SY1402,,,
subdistrict,SY140201,Al-Butayhah,,SY1402,,,
community,C1001,Damascus,,,SY010000,,
community,C1002,Yarmuk (Damascus),,,SY010000,,
community,C1009,Abtin,,,SY020000,,
community,C1007,Aleppo,,,SY020000,,
community,C6429,Al-Mallah,,,SY020000,,
community,C6323,Azzan,,,SY020000,,
community,C6325,Dweir Elzaytun,,,SY020000,,
community,C1004,Esan,,,SY020000,,
community,C1010,Haddadin,,,SY020000,,
community,C1014,Hilan,,,SY020000,,
community,C1012,Hreibel,,,SY020000,,
community,C6426,Kafr Dael,,,SY020000,,
community,C6428,Khan Al-Asal,,,SY020000,,
community,C1015,Khan tuman,,,SY020000,,
community,C1016,Little Kafr,,,SY020000,,
community,C6754,Mansourah,,,SY020000,,
community,C1017,Maratet Elmosalamiyeh,,,SY020000,,
community,C1003,Musallamiyeh,,,SY020000,,
community,C1018,Qarras,,,SY020000,,
community,C6324,Rasm Assan ,,,SY020000,,
community,C1006,Saqlaya,,,SY020000,,
community,C6322,Seifat,,,SY020000,,
community,C6427,Sheikh Najjar,,,SY020000,,
community,C1011,Tal Sheer Simaan,,,SY020000,,
community,C1008,Tal Shgheib,,,SY020000,,
community,C1005,Thabiyeh - Jebel Saman,,,SY020000,,
community,C1013,Wdeihi,,,SY020000,,
community,C1026,Abin Samaan,,,SY020001,,
community,C1030,Abzemo,,,SY020001,,
community,C6753,Ajel,,,SY020001,,
community,C6680,Arnaz,,,SY020001,,
community,C1022,Atareb,,,SY020001,,
community,C1021,Babka,,,SY020001,,
